id,gender,ethnic,school,mathpr,langpr,mathnce,langnce,biling,daysabs,female
1001,male,hispanic,1,63,36,56.98883,42.45086,RFEP,4,0
1002,male,hispanic,1,27,44,37.09416,46.82059,RFEP,4,0
1003,female,hispanic,1,20,38,32.27546,43.56657,RFEP,2,1
1004,female,hispanic,1,16,38,29.05672,43.56657,RFEP,3,1
1005,female,hispanic,1,2,14,6.748048,27.24847,LEP,3,1
1006,female,hispanic,1,71,47,61.65428,48.41482,no bilingual,13,1
1007,female,hispanic,1,63,33,56.98883,40.73543,RFEP,11,1
1008,male,hispanic,1,3,5,10.39049,15.35938,RFEP,7,0
1009,male,hispanic,1,51,54,50.52795,52.11514,RFEP,10,0
1010,male,filipino,1,49,36,49.47205,42.45086,no bilingual,9,0
1011,female,filipino,1,31,26,39.55739,36.45115,no bilingual,4,1
1012,male,hispanic,1,22,4,33.73761,13.13055,RFEP,5,0
1013,female,hispanic,1,73,72,62.90584,62.27464,RFEP,5,1
1014,female,afr amer,1,77,40,65.56011,44.66451,no bilingual,3,1
1015,male,filipino,1,10,12,23.01052,25.25478,IFEP,1,0
1016,male,hispanic,1,89,70,75.83068,61.04388,RFEP,0,0
1017,female,hispanic,1,34,49,41.31353,49.47205,RFEP,1,1
1018,female,hispanic,1,35,77,41.88515,65.56011,RFEP,0,1
1019,male,afr amer,1,77,44,65.56011,46.82059,IFEP,2,0
1020,male,hispanic,1,4,2,13.13055,6.748048,LEP,24,0
1021,female,hispanic,1,21,36,33.01677,42.45086,RFEP,2,1
1022,male,hispanic,1,61,76,55.88246,64.87473,RFEP,0,0
1023,male,hispanic,1,41,60,45.2079,55.33549,RFEP,1,0
1024,male,hispanic,1,63,40,56.98883,44.66451,RFEP,0,0
1025,female,hispanic,1,19,29,31.5115,38.34572,RFEP,8,1
1026,male,afr amer,1,55,50,52.64643,50,no bilingual,3,0
1027,male,hispanic,1,6,2,17.25647,6.748048,no bilingual,7,0
1028,female,hispanic,1,21,32,33.01677,40.15026,RFEP,0,1
1029,male,hispanic,1,70,64,61.04388,57.54914,IFEP,2,0
1030,male,afr amer,1,79,85,66.98323,71.82729,no bilingual,0,0
1031,male,hispanic,1,1,41,1.007114,45.2079,IFEP,0,0
1032,female,hispanic,1,29,24,38.34572,35.12527,LEP,1,1
1033,male,hispanic,1,40,44,44.66451,46.82059,RFEP,3,0
1034,male,asian,1,39,44,44.11754,46.82059,LEP,0,0
1035,male,hispanic,1,68,43,59.84974,46.28556,LEP,0,0
1036,female,hispanic,1,20,45,32.27546,47.35357,LEP,28,1
1037,male,hispanic,1,10,49,23.01052,49.47205,IFEP,8,0
1038,male,hispanic,1,84,70,70.94328,61.04388,RFEP,5,0
1039,male,afr amer,1,1,1,1.007114,1.007114,no bilingual,2,0
1040,female,hispanic,1,35,54,41.88515,52.11514,LEP,27,1
1041,female,hispanic,1,32,24,40.15026,35.12527,RFEP,5,1
1042,female,hispanic,1,34,29,41.31353,38.34572,LEP,18,1
1043,female,hispanic,1,40,66,44.66451,58.68647,LEP,19,1
1044,male,hispanic,1,29,36,38.34572,42.45086,RFEP,9,0
1045,male,hispanic,1,20,1,32.27546,1.007114,IFEP,9,0
1046,female,hispanic,1,27,20,37.09416,32.27546,no bilingual,4,1
1047,male,hispanic,1,74,64,63.54885,57.54914,RFEP,2,0
1048,male,hispanic,1,38,34,43.56657,41.31353,IFEP,3,0
1049,male,hispanic,1,21,11,33.01677,24.16932,no bilingual,9,0
1050,female,asian,1,81,67,68.48849,59.26457,RFEP,20,1
1051,male,hispanic,1,16,9,29.05672,21.7637,IFEP,6,0
1052,male,asian,1,59,59,54.7921,54.7921,no bilingual,0,0
1053,male,hispanic,1,48,53,48.94376,51.58518,RFEP,27,0
1054,female,hispanic,1,55,51,52.64643,50.52795,RFEP,12,1
1055,female,hispanic,1,4,20,13.13055,32.27546,LEP,34,1
1056,male,asian,1,57,35,53.71444,41.88515,IFEP,1,0
1057,male,afr amer,1,5,20,15.35938,32.27546,no bilingual,25,0
